state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,fs_pin,fs_targeted,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,conflict_score,fatalities,area_sown_acres,population_density,flood_prob,flood_count,beneficiaries_2021,partners_2021,ben_6_months,not_in_6months,conflict_ranking,flood_ranking,fs_pin_ranking,fs_target_ranking,fs_pin_pc,pin_pop,group
Yangon,MMR013,Yangon (East),Tamwe,MMR013015,192382.59220542855,53867.5,53866.87418277388,1,16,26,20,5,0.1618999327415454,7,NA,33161.13445106529,0.13333333333333333,2,0,0,NA,1,32,8,84,20,0.004073936516651148,0.28000194499136183,A1
Yangon,MMR013,Yangon (East),Pazundaung,MMR013016,56389.38562190537,15788.75,15788.972025916059,0,6,2,6,1,0.02152987973503306,1,NA,45393.41719137697,0.13333333333333333,2,0,0,NA,1,182,8,268,52,0.0011940848410874057,0.2799950704528798,B1
Yangon,MMR013,Yangon (East),Botahtaung,MMR013017,47707.829193478705,13358.75,13357.807828590627,1,6,1,5,3,0.02185843511534297,8,NA,15756.250061399674,0.13333333333333333,2,0,0,NA,1,177,8,276,59,0.0010103067608820445,0.28001169254261604,B1
Yangon,MMR013,Yangon (East),Dagon Myothit (South),MMR013018,432502.10729209863,121100,121101.40995960019,6,19,10,13,16,0.11672350257568977,47,NA,9908.877831721176,0.13333333333333333,2,2770,1,NA,1,53,8,6,2,0.009158652474431784,0.2799986357481786,A1
Yangon,MMR013,Yangon (East),Dagon Myothit (North),MMR013019,237343.97727409672,66456.25,66455.6863647331,0,16,9,17,7,0.08526315778022187,17,NA,8435.84069391932,0.13333333333333333,2,0,0,NA,1,72,8,54,15,0.0050260090710483665,0.27999973187966337,A1
Yangon,MMR013,Yangon (East),Dagon Myothit (East),MMR013020,192749.1726712401,53970,53970.23165304706,0,3,0,5,2,0.01147609078058821,7,38769,1207.5130147162602,0.26666666666666666,4,0,0,NA,1,220,6,82,19,0.004081688472709194,0.2800012018316321,B1
Yangon,MMR013,Yangon (East),Dagon Myothit (Seikkan),MMR013021,194867.1931403737,54562.5,54563.18592132887,0,10,4,4,8,0.0469703808725245,13,NA,2171.3253824889853,0.2,3,276430,2,291802,0,126,7,79,18,0.004126498560166674,0.27999838823919215,B1
Yangon,MMR013,Yangon (East),Mingalartaungnyunt,MMR013022,154189.56265790385,43172.5,43172.9224559262,0,9,10,3,7,0.0698675138336986,6,NA,26807.04815179339,0.2,3,0,0,NA,1,88,7,118,29,0.0032650860772287875,0.2799962543235539,A1
Yangon,MMR013,Yangon (North),Insein,MMR013001,355272.33125192724,99476.25,99475.74725010256,0,23,19,12,17,0.1503906733580448,17,NA,10217.535787258495,0.13333333333333333,2,0,0,NA,1,36,8,15,6,0.007523273354332739,0.2799999922579402,A1
Yangon,MMR013,Yangon (North),Mingaladon,MMR013002,385882.3820209496,108047.5,108046.93303417561,4,14,0,20,9,0.04955774329865399,12,3253,2577.889692971146,0.2,3,0,0,NA,1,119,7,11,5,0.008171507045674386,0.28000112219203127,B1
Yangon,MMR013,Yangon (North),Hmawbi,MMR013003,284660.787304043,79705,79704.9795548732,0,7,0,3,1,0.01100183819956568,1,51919,519.1861957541133,0.13333333333333333,2,5961,1,NA,1,225,8,32,11,0.006027996659575436,0.27999992817720964,B2
Yangon,MMR013,Yangon (North),Hlegu,MMR013004,315074.1647437887,88221.25,88221.23387235914,2,5,0,13,10,0.03379083653577505,7,133876,179.28045080657554,0.06666666666666667,1,27837,1,NA,1,148,9,26,8,0.006672070764739595,0.28000153573917924,B2
Yangon,MMR013,Yangon (North),Taikkyi,MMR013005,322669.94474490674,90347.5,90348.4154733367,1,3,2,5,2,0.02219567101240314,9,227029,157.1748419169966,0.2,3,6266,1,NA,1,176,7,25,7,0.0068328765849192865,0.2799997380339407,B2
